sample_id,sampling_stage,sampling_method,grid_index,Atheta,Pphi,periodic_Atheta,periodic_Pphi
grid_00001,center_matched_grid_v1,periodic_full_grid,1,0.0,50.0,0.0,50.0
grid_00002,center_matched_grid_v1,periodic_full_grid,2,0.0,51.0,0.0,51.0
grid_00003,center_matched_grid_v1,periodic_full_grid,3,0.0,52.0,0.0,52.0
grid_00004,center_matched_grid_v1,periodic_full_grid,4,0.0,53.0,0.0,53.0
grid_00005,center_matched_grid_v1,periodic_full_grid,5,0.0,54.0,0.0,54.0
grid_00006,center_matched_grid_v1,periodic_full_grid,6,0.0,55.0,0.0,55.0
grid_00007,center_matched_grid_v1,periodic_full_grid,7,0.0,56.0,0.0,56.0
grid_00008,center_matched_grid_v1,periodic_full_grid,8,0.0,57.0,0.0,57.0
grid_00009,center_matched_grid_v1,periodic_full_grid,9,0.0,58.0,0.0,58.0
grid_00010,center_matched_grid_v1,periodic_full_grid,10,0.0,59.0,0.0,59.0
grid_00011,center_matched_grid_v1,periodic_full_grid,11,0.0,60.0,0.0,60.0
grid_00012,center_matched_grid_v1,periodic_full_grid,12,0.0,61.0,0.0,61.0
grid_00013,center_matched_grid_v1,periodic_full_grid,13,0.0,62.0,0.0,62.0
grid_00014,center_matched_grid_v1,periodic_full_grid,14,0.0,63.0,0.0,63.0
grid_00015,center_matched_grid_v1,periodic_full_grid,15,0.0,64.0,0.0,64.0
grid_00016,center_matched_grid_v1,periodic_full_grid,16,0.0,65.0,0.0,65.0
grid_00017,center_matched_grid_v1,periodic_full_grid,17,0.0,66.0,0.0,66.0
grid_00018,center_matched_grid_v1,periodic_full_grid,18,0.0,67.0,0.0,67.0
grid_00019,center_matched_grid_v1,periodic_full_grid,19,0.0,68.0,0.0,68.0
grid_00020,center_matched_grid_v1,periodic_full_grid,20,0.0,69.0,0.0,69.0
grid_00021,center_matched_grid_v1,periodic_full_grid,21,0.0,70.0,0.0,70.0
grid_00022,center_matched_grid_v1,periodic_full_grid,22,0.0,71.0,0.0,71.0
grid_00023,center_matched_grid_v1,periodic_full_grid,23,0.0,72.0,0.0,72.0
grid_00024,center_matched_grid_v1,periodic_full_grid,24,0.0,73.0,0.0,73.0
grid_00025,center_matched_grid_v1,periodic_full_grid,25,0.0,74.0,0.0,74.0
grid_00026,center_matched_grid_v1,periodic_full_grid,26,0.0,75.0,0.0,75.0
grid_00027,center_matched_grid_v1,periodic_full_grid,27,0.0,76.0,0.0,76.0
grid_00028,center_matched_grid_v1,periodic_full_grid,28,0.0,77.0,0.0,77.0
grid_00029,center_matched_grid_v1,periodic_full_grid,29,0.0,78.0,0.0,78.0
grid_00030,center_matched_grid_v1,periodic_full_grid,30,0.0,79.0,0.0,79.0
grid_00031,center_matched_grid_v1,periodic_full_grid,31,0.0,80.0,0.0,80.0
grid_00032,center_matched_grid_v1,periodic_full_grid,32,0.0,81.0,0.0,81.0
grid_00033,center_matched_grid_v1,periodic_full_grid,33,0.0,82.0,0.0,82.0
grid_00034,center_matched_grid_v1,periodic_full_grid,34,0.0,83.0,0.0,83.0
grid_00035,center_matched_grid_v1,periodic_full_grid,35,0.0,84.0,0.0,84.0
grid_00036,center_matched_grid_v1,periodic_full_grid,36,0.0,85.0,0.0,85.0
grid_00037,center_matched_grid_v1,periodic_full_grid,37,0.0,86.0,0.0,86.0
grid_00038,center_matched_grid_v1,periodic_full_grid,38,0.0,87.0,0.0,87.0
